ScarletWich VS Hulk | GANADOR: ScarletWich con [100] vidas restantes
ScarletWich VS DrStrange | GANADOR: DrStrange con [100] vidas restantes
CaptainAmerica VS DrStrange | GANADOR: DrStrange con [100] vidas restantes
IronMan VS DrStrange | GANADOR: DrStrange con [91] vidas restantes
SpiderMan VS DrStrange | GANADOR: DrStrange con [82] vidas restantes
BlackWidow VS DrStrange | GANADOR: BlackWidow con [100] vidas restantes
BlackWidow VS Hawkeye | GANADOR: BlackWidow con [100] vidas restantes

GANADOR: BlackWidow con [100] vidas restantes

BlackWidow VS CaptainAmerica | GANADOR: BlackWidow con [100] vidas restantes
BlackWidow VS Hawkeye | GANADOR: Hawkeye con [74] vidas restantes
Hulk VS Hawkeye | GANADOR: Hulk con [94] vidas restantes
Hulk VS SpiderMan | GANADOR: SpiderMan con [100] vidas restantes
DrStrange VS SpiderMan | GANADOR: SpiderMan con [100] vidas restantes
IronMan VS SpiderMan | GANADOR: SpiderMan con [100] vidas restantes
ScarletWich VS SpiderMan | GANADOR: SpiderMan con [100] vidas restantes

GANADOR: SpiderMan con [100] vidas restantes

ScarletWich VS BlackWidow | GANADOR: BlackWidow con [100] vidas restantes
Hulk VS BlackWidow | GANADOR: BlackWidow con [100] vidas restantes
SpiderMan VS BlackWidow | GANADOR: BlackWidow con [82] vidas restantes
IronMan VS BlackWidow | GANADOR: BlackWidow con [69] vidas restantes
DrStrange VS BlackWidow | GANADOR: DrStrange con [56] vidas restantes
DrStrange VS Hawkeye | GANADOR: Hawkeye con [94] vidas restantes
CaptainAmerica VS Hawkeye | GANADOR: Hawkeye con [97] vidas restantes

GANADOR: Hawkeye con [97] vidas restantes

ScarletWich VS BlackWidow | GANADOR: ScarletWich con [100] vidas restantes
ScarletWich VS Hulk | GANADOR: ScarletWich con [100] vidas restantes
ScarletWich VS SpiderMan | GANADOR: SpiderMan con [100] vidas restantes
IronMan VS SpiderMan | GANADOR: IronMan con [95] vidas restantes
IronMan VS DrStrange | GANADOR: DrStrange con [100] vidas restantes
Hawkeye VS DrStrange | GANADOR: DrStrange con [100] vidas restantes
CaptainAmerica VS DrStrange | GANADOR: DrStrange con [100] vidas restantes

GANADOR: DrStrange con [100] vidas restantes

SpiderMan VS IronMan | GANADOR: IronMan con [100] vidas restantes
DrStrange VS IronMan | GANADOR: DrStrange con [100] vidas restantes
DrStrange VS CaptainAmerica | GANADOR: DrStrange con [100] vidas restantes
DrStrange VS ScarletWich | GANADOR: DrStrange con [100] vidas restantes
DrStrange VS Hulk | GANADOR: DrStrange con [89] vidas restantes
DrStrange VS BlackWidow | GANADOR: BlackWidow con [83] vidas restantes
Hawkeye VS BlackWidow | GANADOR: BlackWidow con [82] vidas restantes

GANADOR: BlackWidow con [82] vidas restantes

IronMan VS CaptainAmerica | GANADOR: CaptainAmerica con [100] vidas restantes
ScarletWich VS CaptainAmerica | GANADOR: CaptainAmerica con [100] vidas restantes
BlackWidow VS CaptainAmerica | GANADOR: BlackWidow con [100] vidas restantes
BlackWidow VS Hawkeye | GANADOR: BlackWidow con [100] vidas restantes
BlackWidow VS SpiderMan | GANADOR: BlackWidow con [100] vidas restantes
BlackWidow VS Hulk | GANADOR: Hulk con [91] vidas restantes
DrStrange VS Hulk | GANADOR: Hulk con [80] vidas restantes

GANADOR: Hulk con [80] vidas restantes

Hulk VS Hawkeye | GANADOR: Hulk con [100] vidas restantes
Hulk VS SpiderMan | GANADOR: Hulk con [100] vidas restantes
Hulk VS ScarletWich | GANADOR: ScarletWich con [100] vidas restantes
DrStrange VS ScarletWich | GANADOR: ScarletWich con [84] vidas restantes
BlackWidow VS ScarletWich | GANADOR: ScarletWich con [83] vidas restantes
IronMan VS ScarletWich | GANADOR: IronMan con [86] vidas restantes
IronMan VS CaptainAmerica | GANADOR: CaptainAmerica con [99] vidas restantes

GANADOR: CaptainAmerica con [99] vidas restantes

Hulk VS DrStrange | GANADOR: DrStrange con [100] vidas restantes
SpiderMan VS DrStrange | GANADOR: SpiderMan con [92] vidas restantes
SpiderMan VS ScarletWich | GANADOR: ScarletWich con [81] vidas restantes
SpiderMan VS BlackWidow | GANADOR: BlackWidow con [100] vidas restantes
Hawkeye VS BlackWidow | GANADOR: BlackWidow con [99] vidas restantes
ScarletWich VS BlackWidow | GANADOR: ScarletWich con [100] vidas restantes
ScarletWich VS DrStrange | GANADOR: DrStrange con [100] vidas restantes
Hulk VS DrStrange | GANADOR: DrStrange con [100] vidas restantes
CaptainAmerica VS DrStrange | GANADOR: DrStrange con [89] vidas restantes
IronMan VS DrStrange | GANADOR: IronMan con [100] vidas restantes

GANADOR: IronMan con [100] vidas restantes
ScarletWich VS DrStrange | GANADOR: DrStrange con [100] vidas restantes
Hawkeye VS DrStrange | GANADOR: DrStrange con [84] vidas restantes
IronMan VS DrStrange | GANADOR: DrStrange con [73] vidas restantes
Hulk VS DrStrange | GANADOR: DrStrange con [68] vidas restantes
SpiderMan VS DrStrange | GANADOR: SpiderMan con [60] vidas restantes
SpiderMan VS CaptainAmerica | GANADOR: CaptainAmerica con [56] vidas restantes
BlackWidow VS CaptainAmerica | GANADOR: BlackWidow con [100] vidas restantes

GANADOR: BlackWidow con [100] vidas restantes

Hulk VS DrStrange | GANADOR: Hulk con [100] vidas restantes
Hulk VS CaptainAmerica | GANADOR: Hulk con [85] vidas restantes
Hulk VS SpiderMan | GANADOR: Hulk con [92] vidas restantes
Hulk VS ScarletWich | GANADOR: ScarletWich con [100] vidas restantes
Hawkeye VS ScarletWich | GANADOR: Hawkeye con [100] vidas restantes
Hawkeye VS IronMan | GANADOR: Hawkeye con [94] vidas restantes
Hawkeye VS BlackWidow | GANADOR: Hawkeye con [88] vidas restantes

GANADOR: Hawkeye con [88] vidas restantes

